團,LGJF
璜,GAMW
璛,GVHH
璘,GOQH
璆,GNWE
郃,WGKB
璂,GADF
璃,GYBC
璀,GMWY
璁,GTLN
璎,GMMV
靶,AFCN
璋,GUJH
璈,GGQT
璉,GLPY
郅,GCFB
泯,INAN
泰,DWIU
鰭,QOFJ
泱,IMDY
钇,QNN
郝,FOBH
郜,TFKB
伺,WNGK
郓,PLBH
泺,IQIY
泻,IPGG
泼,INTY
泽,ICFH
泾,ICAG
慌,NAYQ
忮,NFCY
攜,RMWK
顢,AMHM
毅,UEMC
除,BWTY
陧,BJFG
陡,BFHY
陣,BLH
院,BPFQ
陬,BBCY
险,BWGI
陨,BKMY
陪,BUKG
陵,BFWT
陴,BRTF
陷,BQVG
陶,BQRM
陰,BWYC
陳,BGJI
陲,BTGF
陽,BJGR
陿,BADW
陸,BFWF
陻,BSFG
际,BFIY
附,BWFY
陇,BDXN
陆,BFMH
陀,BPXN
陂,BHCY
降,BTAH
陌,BDJG
陎,BRIY
陉,BCAG
陈,BAIY
陋,BGMN
陕,BGUW
陔,BYNW
限,BVEY
陝,BDTY
陟,BHIT
陘,BGVA
陛,BXXF
轍,LYCT
轎,LTDK
轉,LGJF
轄,LPDK
轅,LFKE
轆,LYNX
顾,DBDM
轂,|||||
轟,|||||
轔,LOQH
转,LFNY
轭,LDBN
轮,LWXN
软,LQWY
轨,LVN
轩,LFH
轫,LVYY
轤,LHAL
车,LGNH
项,ADMY
轡,XLXK
轢,LXRS
轼,LAAG
载,FALK
轾,LGCF
轿,LTDJ
轸,LWET
轹,LQIY
轺,LVKG
轻,LCAG
轴,LMG
轵,LKWY
轶,LRWY
轷,LTUH
轰,LCCU
轱,LDG
轲,LSKG
轳,LHNT
溘,IFCL
溟,IPJU
溝,|||||
溜,IQYL
鄶,WGLB
鄴,OGUB
源,IDRI
鄲,KKJB
整,GKIH
鄰,OQAB
鄱,TOLB
鄯,UDUB
溉,IVCQ
溈,IYTO
溏,IYVK
鄩,VAKB
溃,IKHM
鄧,WGKB
鄤,JLCB
鄢,GHGB
鄣,UJBH
鄠,FFNB
鄡,WVGB
溻,IJNG
溺,IXUU
鄜,|||||
鄚,AJDB
数,|||||
鄘,YVEB
鄙,KFLB
鄖,KMBH
溲,IVHC
鄔,WNGB
溷,ILEY
溶,IPWK
溴,ITHD
溪,IEXD
鄍,PJUB
溯,IUBE
鄉,XTYB
鄆,PLBH
溢,IUWL
鄄,SFBH
鄅,TKMB
溧,ISSY
溦,IMGT
鄀,ADKB
蚤,CYJU
蚧,JWJH
蚣,JWCY
蚬,JMQN
蚯,JRGG
蚩,BHGJ
蚨,JFWY
蚪,JUFH
蚵,JSKG
蚴,JXLN
蚶,JAFG
蚱,JTHF
蚰,JMG
蚹,JWFY
蚺,JMFG
鲈,QGHN
蚁,JYQY
蚀,QNJY
蚂,JCG
蚍,JXXN
蚌,JDHH
蚏,JEG
蚋,JMWY
蚊,JYY
蚕,GDJU
蚖,JFQN
蚓,JXHH
蚝,JTFN
鲌,QGRG
檞,|||||
蚚,JRH
兽,ULGK
兼,UVOU
兹,UXXU
典,MAWU
养,UDYJ
兵,RGWU
兴,IWU
具,HWU
其,ADWU
共,AWU
兰,UFF
关,UUDI
六,UYGY
公,WCU
兮,WGNB
兩,|||||
全,WGF
八,WTY
入,|||||
兠,URXQ
兢,DQDQ
兜,QRNQ
敭,JGQT
党,IPKQ
兕,MMGQ
兔,QKQY
兖,UCQB
兑,UKQB
児,HJQB
兒,VQB
免,QKQB
兎,TKQY
光,IQB
先,TFQB
克,DQB
匣,ALK
充,YCQB
兄,KQB
敩,IPBT
允,CQB
兀,GQV
元,FQB
鲸,QGYI
敗,MTY
庇,YXXV
敕,GKIT
筆,|||||
救,FIYT
鲰,QGBC
鲳,QGJJ
鲴,QGLD
鲵,QGVQ
敘,WTTY
鲷,QGMK
鲩,QGPQ
鲫,|||||
繢,XKHM
繯,XLGE
繮,XGLG
繭,AMHJ
繪,XWGJ
繩,XMGV
繶,XUJN
繳,XRYT
鲡,QGGY
繾,XKHP
繽,XPGM
繼,XXXN
繻,XFDJ
敌,TDTY
繹,XLFF
繸,XUEP
繇,ERMI
繆,XNWE
繅,XVJS
繄,ATDI
繃,XMEE
繁,TXGI
繍,XVOJ
繋,LMCI
繖,XAET
繕,XUDK
織,XUAJ
效,UQTY
繟,XKKF
繞,XFFQ
敉,OTY
繚,XDUI
繙,XTOL
菍,AWYN
戮,NWEA
截,FAWY
戥,JTGA
戧,WYVA
駛,CKQY
駘,CCKG
派,IREY
旬,QJD
鼗,IQFC
旮,VJF
旯,JVB
旨,XJF
早,JHNH
鼐,EHNN
旤,MNMQ
日,JJJJ
旦,JGF
旧,HJG
无,FQV
既,VCAQ
鼙,FKUF
旼,JYY
鼇,GQTV
旸,JNRT
旺,JGG
旻,JYU
旴,JGFH
旵,JMJ
鼌,JGKN
鼍,KKLN
旰,JFH
旱,JFJ
鼉,KKLV
旌,YTTG
鼷,VNUD
旎,YTNX
族,YTTD
旋,YTNH
鼾,THLF
旅,YTEY
旆,YTGH
鼽,THLV
鼺,VNUL
旁,UPYB
旃,YTMY
鼥,VNUC
鼢,VNUV
鼠,VNUN
鼯,VNUK
鼬,VNUM
旗,YTAW
旒,YTYQ
臾,VWI
臿,TFVD
臼,VTHG
臻,GCFT
臸,GCFF
致,|||||
至,GCFF
臯,THIF
臬,THSU
臭,THDU
自,THD
臨,AHNK
臧,DNDT
臥,|||||
臣,AHNH
臠,XYXW
臟,EADT
臝,YNKY
臚,EHAL
駱,CTKG
臘,EVLN
臙,EAUO
臖,WFME
臕,EYNO
臑,EFDJ
臎,ENYF
臏,EPGM
臌,EFKC
臍,EYVF
臊,EKKS
臋,NAWW
臈,EAJN
臉,EWGW
臆,EUJN
臂,NKUE
臃,EYXY
臀,NAWE
臁,EYUO
韮,ADJG
韭,DJDG
韬,FNHV
韫,FNHL
韪,JGHH
韩,FJFH
韧,FNHY
韦,FNHK
韤,NHKT
韡,NHKF
響,XTYJ
韻,UJKM
韶,UJVK
韵,UJQU
音,UJF
韲,YVUG
韌,NHKY
韋,NHKH
韉,AFAO
韈,AFAT
韃,AFFP
韂,AFQY
韁,|||||
韞,NHKL
韝,|||||
韜,NHKV
韙,JGHH
韔,NHKE
韓,FJNH
战,HKAT
返,RCPI
迕,TFPK
迓,AHTP
运,FCPI
近,RPK
连,LPK
迟,NYPI
远,FQPV
违,FNHP
进,FJPK
还,|||||
这,YPI
迆,BPV
过,FPI
迄,TNPV
迅,NFPK
迂,GFPK
迀,FPK
迁,TFPK
迎,QBPK
戗,WBAT
迈,DNPV
迷,OPI
迴,LKPD
迵,MGKP
迳,|||||
述,SYPI
追,WNNP
迺,SPD
迻,QQPI
迸,UAPK
迹,YOPI
迦,LKPD
迤,TBPV
迥,MKPD
迢,VKPD
迮,THFP
迭,RWPI
迪,MPD
迫,RPD
迨,CKPD
谎,YAYQ
堯,FFFQ
堪,FADN
堦,FXXR
堤,FJGH
堠,FWND
堡,WKSF
堾,FDWJ
调,YMFK
場,FJGR
堵,FFTJ
堰,FAJV
報,FUFC
堍,FQKY
堋,FEEG
堆,FWYG
堇,AKGF
堅,AHNF
堂,IPKF
堃,YYFF
堀,FNBM
堞,FANS
堝,FMNK
堛,FGKL
堘,FUDF
堙,FSFG
堖,FVTQ
堕,BDEF
堑,LRFF
眸,HCRH
眺,HIQN
眼,HVEY
眴,HQJG
眵,HQQY
眶,HAGG
眷,UDHF
眨,HTPY
眩,HYXY
眬,HDXN
眭,HFFG
眯,HOY
眠,HNAN
眡,HQAY
眢,QBHF
眥,HXHF
眦,HHXN
眧,HVKG
眙,HCKG
眚,TGHF
真,FHWU
眈,HPQN
眉,NHD
看,RHF
県,HNIU
眍,HAQY
眎,HFIY
省,ITHF
眄,HGHN
眅,HRCY
眇,HITT
誶,YYWF
锋,QTDH
課,|||||
浠,IQDH
锇,QTRT
調,YMFK
僅,WAKG
僂,WLVG
像,WQJE
锂,QJFG
僊,WSDN
僉,WGKW
浡,IFPB
僖,WFKK
僕,WOGY
僔,|||||
僑,WTDK
僞,WETO
僝,WNBB
僚,WDUI
僧,WULJ
僦,WYIN
僥,WFFQ
僢,WEPH
僡,WGJN
誤,YKGD
僮,WUJF
僭,WAQJ
僬,WWYO
僨,WFAM
僵,WGLG
锝,QJGF
僳,WSOY
僱,WYNY
僰,GMIW
僿,|||||
僾,WEPT
僻,WNKU
價,WSMY
誠,YDNT
誣,YAWW
锖,QGEG
锗,QFTJ
擋,RIPL
誨,YTXU
誕,YTHP
锭,QPGH
誑,YQTG
誓,RRYF
锩,QUDB
亍,FHK
锥,QWYG
誘,YTEN
誚,YIEG
誅,YRIY
誄,YDIY
魏,TVRC
認,YVYN
裝,NHDE
誉,IWYF
锱,QVLG
渝,IWGJ
渟,IYPS
渚,IFTJ
渔,IQGG
渗,|||||
渖,IPJH
渑,IKJN
渐,ILRH
渍,IGMY
渌,IVIY
渎,IFND
渊,ITOH
清,IGEG
渃,IADK
渼,IUGD
渾,IPLH
游,IYTB
渺,|||||
渴,IJQN
渶,IAMD
渲,IPGG
渭,ILEG
測,IMJH
港,IAWN
温,IJLG
渫,IANS
渥,INGF
渤,IFPL
渦,IMNK
渡,IYAC
渠,IANS
渣,ISJG
渢,IMTJ
蜯,JDWH
蜮,JAKG
蜩,JMFK
蜨,JGVH
蜥,JSRH
蜣,JUDN
蜢,JBLG
蜡,JAJG
蜿,JPQB
蜾,JJSY
蜻,JGEG
蜷,JUDB
蜴,JJQR
蜱,JRTF
蜍,JWTY
蜋,JYVE
蜊,JTJH
蜉,JEBG
蜈,JKGD
蜇,RRJU
蜆,JHQN
蜃,DFEJ
蜂,JTDH
蜀,LQJU
蜞,JADW
蜜,PNTJ
蜚,DJDJ
蜘,JTDK
蜗,JKMW
蜖,JMJD
蜕,JUKQ
蜓,JTFP
蜒,JTHP
蜑,THPJ
蜐,JFCL
敷,GEHT
鲚,QGYJ
敵,UMDT
敲,YMKC
鲞,UDQG
鲟,QGVF
鲐,|||||
鲑,QGFF
鲒,QGFK
鲔,QGDE
鲕,QGDJ
數,KGKT
敦,YBTY
鲋,QGWF
敢,|||||
散,AETY
鲎,IPQG
鲀,QGGN
鲁,QGJF
鲂,QGYN
鲃,QGCN
敫,RYTY
鲆,QGGH
鲇,QGHK
敖,GQTY
鲹,QGCE
鲻,QGVL
鲼,QGFM
鲽,QGAS
鲾,QGGL
鲿,QGIC
敞,IMKT
鲱,QGDD
鲲,QGJX
敝,UMIT
敚,UKQT
敛,WGIT
鲶,QGWN
教,FTBT
鲨,IITG
敇,GMIT
故,DTY
敂,QKTY
鲭,QGGE
鲮,QGFT
鲠,QGGQ
敏,TXGT
鲢,QGLP
鲣,QGJF
鲤,QGJF
鲥,QGJF
鲦,QGTS
鲧,QGTI
绩,XGMY
绨,XUXT
绫,XFWT
绪,XFTJ
续,XFND
绯,XDJD
绮,XDSK
绡,XIEG
绠,XGJQ
绣,XTEN
绢,XKEG
绥,XEVG
继,XONN
绦,XTSY
绸,XMFK
绻,XUDB
绺,XTHK
绽,XPGH
综,XPFI
绿,XVIY
绾,XPNN
绱,XIMK
绰,XHJH
绳,XKJN
绲,XJXX
绵,XRMH
维,XWYG
绷,XEEG
绶,XEPC
绉,XQVG
终,XTUY
绋,XXJH
绊,XUFH
绍,XVKG
绌,XBMH
经,|||||
绎,XCFH
绁,XANN
绀,XAFG
练,XANW
绂,XDCY
绅,XJHH
组,XEGG
织,XKWY
细,XLG
给,XWGK
绘,|||||
绛,XTAH
绚,XQJG
绝,XQCN
络,XTKG
统,XYCQ
绞,XUQY
绑,XDTB
绐,XCKG
结,XFKG
绒,XADT
绕,XATQ
绔,XDFN
绗,XTFH
伤,WTLN
徳,TFLN
徵,TMGT
德,TFLN
徹,TYCT
徼,TRYT
徽,TMGT
徠,TSWW
御,TRHB
徦,TNHC
徧,TYNA
徨,TRGG
復,TTJT
循,TRFH
徬,TUPY
徭,TERM
微,TMGT
徐,TWTY
徑,TGVA
徒,TFHY
従,TUHY
徕,TGOY
得,TJGF
徘,TDJD
徙,THHY
徜,TIMK
往,TYGG
征,TGHG
徂,|||||
径,TCAG
待,TFFY
徇,|||||
很,TVEY
徉,TUDH
徊,TLKG
律,TVFH
鯆,QOGY
侥,WATQ
嵬,MRQC
薫,ATGO
锞,QJSY
埔,FGEY
嵴,MIWE
埚,FKMW
靳,AFRH
靴,AFWX
瞄,HALG
瞅,HTOY
瞋,HFHW
耼,BMFG
瞎,HPDK
靼,AFJG
瞌,HFCL
瞍,HVHC
靡,YSSD
靠,TFKD
靣,DLKF
瞑,HPJU
靥,DDDD
靦,|||||
革,AFJ
靨,DJED
瞘,HAKK
靭,AFVY
瞟,HSFI
瞢,ALPH
瞠,HIPF
青,GEF
瞧,HWYO
瞤,HUGG
靖,UGEG
静,GEQH
靛,GEPH
靚,GEHQ
瞬,HEPH
瞭,HDUI
靁,FLLL
瞳,HUJF
靃,FWYY
靄,FYJN
瞵,HOQH
靉,FFCT
瞻,HQDY
瞿,HHWY
瞼,HWGW
瞽,FKUH
豚,EEY
豝,ECN
豐,DHDU
豓,DHDL
豔,DHDL
豕,EGTY
豈,MGKU
豉,GKUC
豌,GKUB
豎,AHNU
豁,PDHK
豆,GKUF
豇,GKUA
豸,EER
豹,EEQY
豺,|||||
豳,EEMK
豨,EQDH
豪,YPEU
豫,CBQE
豯,EEXD
象,QJEU
豢,UDEU
澧,IMAU
澤,ILFF
澣,IFJF
澡,IKKS
伲,WNXN
澮,IWGJ
澪,IFWC
澩,WFQI
澶,IYLG
澳,ITMD
伷,WMG
澼,INKU
澹,IQDY
伶,WWYC
澇,IOOL
澆,IFFQ
澄,IWGU
澂,IMGT
澁,IHHH
澀,IVYH
亱,YWJG
澍,IFKF
澌,IADR
澉,INBT
澈,IYCT
澗,IUJG
伻,WGUH
澐,IFFC
澜,IUGI
澘,ISSJ
螳,JIPF
螲,JPWF
螵,JSFI
螻,JKGV
螺,JLXI
螽,TUJJ
螢,OOPJ
螨,JAGW
螫,FOTJ
螭,JYBC
螬,JGMJ
螯,GQTJ
螓,JDWT
螗,JYVK
螘,JMGU
傖,WWYK
螟,JPJU
螞,JCY
螃,JUPY
螂,JYVB
螅,JTHN
螄,JWNH
螉,JWCN
螈,JDRI
螋,JVHC
融,GKMJ
伦,WWXN
傒,WEXD
傓,WYNN
伫,WPGG
汛,INFH
備,WATE
偉,WNHH
偈,WJQN
佳,WFFG
佴,WBG
併,WUAH
偏,WYNA
偎,WLGE
偁,WEMF
偃,WAJV
佻,WIQN
佼,WUQY
佽,WUQW
佾,WWEG
使,WGKQ
你,WQIY
做,WDTY
佤,WGNN
停,WYPS
佧,WHHY
佩,|||||
偓,WNGF
佫,WTKG
偕,WXXR
佯,WUDH
佐,WDAG
佑,WDKG
体,WSGG
佔,WHKG
何,WSKG
佗,WPXN
佘,WFIU
余,WTU
佚,WRWY
偢,WTOY
作,WTHF
佝,WQKG
佞,WFVG
佟,WTUY
佀,WHNN
佁,WCKG
偻,WOVG
佃,WLG
偽,WYTO
偿,WIPC
偾,WFAM
偱,WRFH
偰,WDHD
佊,WHCY
偲,WLNY
偵,WHMY
位,WUG
偷,WWGJ
偶,WJMY
优,WDNN
伟,WFNH
傩,WCWY
企,WHF
祷,PYDF
祺,PYAW
祸,PYKW
祼,PYJS
祢,PYQI
祠,PYNK
祧,PYIQ
祥,PYUD
票,SFIU
祯,PYHM
伉,WYMN
祭,WFIU
祓,PYDC
祐,PYDK
祗,PYQY
祖,PYEG
祛,PYFC
祚,PYTF
祟,BMFI
神,PYJH
祝,PYKQ
祜,|||||
祃,PYCG
祁,PYBH
祀,PYNN
祇,PYQA
祆,PYGD
祋,PYMC
祊,PYYN
祉,|||||
祈,PYRH
祎,PYFH
齡,|||||
湯,IJGR
銜,TQFH
嘁,KDHT
湻,IYJG
書,VFJF
曹,GMAJ
曼,JLCU
鰧,EUDO
曾,ULJF
替,FWFJ
曰,JHNG
曱,JHK
鰨,QOJN
鰩,QOEM
更,GJQI
曷,JQWN
鰲,GQTO
曩,JYKE
鰱,QOLP
曬,JGMX
鰷,QOWS
鰵,TXGO
曠,JYAW
鰻,QOJC
鰹,QOAF
鰾,QOSI
曦,JUGT
曙,JLFJ
曛,JTGO
曜,JNWY
曝,JJAI
鰈,QOAS
鰉,QORG
鰏,QOGL
曖,JEPT
鰍,QOTO
鰒,QOTT
鰓,QOLN
鰐,QOKN
曌,JEPA
鰕,QONC
曄,JAGF
鰟,QOUY
曇,JFFC
瘄,UAJD
铺,QGEY
铹,QAPL
铸,QDTF
铿,QJCF
链,QLPY
铽,QANY
瘃,UEYI
铳,QYCQ
铲,QUTT
铱,QYEY
铰,QUQY
铷,QVKG
银,QVEY
瘊,UWND
瘋,UMTJ
铫,QIQN
铪,QWGK
瘖,UUJD
铨,QWGG
铯,QQCN
铮,QQVH
铭,QQKG
铬,QTKG
铣,QTFQ
瘝,ULII
铡,QMJH
铠,QMNN
铧,QWXF
瘙,UCYJ
铥,QTFC
铤,QTFP
瘤,UQYL
瘥,UUDA
瘦,UVHC
铘,QAHB
铟,QLDY
瘡,UWYK
瘢,UTEC
铜,QMGK
瘭,USFI
铑,QFTX
铐,QFTN
铗,QGUW
瘩,UAWK
瘪,UTHX
瘫,UCWY
瘴,UUJK
瘵,UWFI
铉,QYXY
铈,QYMH
瘰,ULXI
铎,QCFH
铍,QHCY
铌,QNXN
瘼,UAJD
铂,QRG
铁,QRWY
铀,QMG
瘸,ULKW
铆,|||||
铅,QMKG
铄,QQIY
賢,AHNM
賣,FLMU
賠,|||||
賡,YVWM
賦,MGAH
賧,MOOY
賤,MAAT
質,RRMU
賫,FWWM
賬,MDEY
賭,MFTJ
賴,GKIM
賺,MUVO
賻,MGEF
賾,AHKM
購,MFJF
賽,PFJM
賂,MTKG
賃,WTFM
賀,LKMU
賁,FAMU
資,UQWM
賄,MDEG
賅,MYNW
賊,MADT
賈,SMU
賉,MTLG
賒,MWFI
賓,PGIM
賑,MDFE
賕,MFIY
賚,SWWM
賛,FWFM
賞,IPKM
賜,MJQR
强,XKJY
池,|||||
弹,XUJF
弼,XDJX
弳,XGVA
弱,XUXU
強,XCJY
張,XDEY
弪,XCAG
弨,XVKG
弩,VCXB
弯,|||||
弭,XBG
弢,XBHC
张,XTAY
弦,XYXY
弧,XRCY
弥,XQIY
弛,XBN
弘,XCY
弟,UXHT
弝,XCN
隰,BJXO
弓,XNGN
弑,QSAA
弗,XJK
弔,XHK
引,XHH
弊,UMIA
弋,AGNY
弈,YOAJ
式,AAD
异,NAJ
弃,YCAJ
开,GAK
弁,CAJ
弇,WGKA
弄,GAJ
黌,WFQW
钻,QHKG
等,TFFU
筏,TWAR
欄,SUGI
俺,WDJN
埒,FEFY
俸,WDWH
俾,WRTF
埕,FKGG
欸,CTDW
俲,WUQL
筇,TABJ
埙,FKMY
俱,WHWY
域,FAKG
埝,FWYN
俵,WGEY
俪,WGMY
埂,FGJQ
俨,WGOD
俩,WGMW
修,|||||
俯,WYWF
俭,WWGI
埋,FJFG
欽,QQWY
俠,WDWW
信,WYG
埏,FTHP
城,FDNT
俤,WUXT
俥,WLH
俚,WJFG
俘,WEBG
執,FUFY
俟,WCTD
俜,WMGN
筚,TXXF
俓,WGVA
培,FUKG
埸,FJQR
俗,WWWK
埽,FVPH
俊,WCWT
埡,FGHG
埠,FWNF
俎,WWEG
俏,WIEG
埤,FRTF
促,WKHY
俆,WWTY
埭,FVIY
俅,WFIY
欲,WWKW
黯,LFOJ
鱟,WFQO
暾,JYBT
鱗,QOOH
黻,OGUC
暴,JAWI
欣,RQWY
欤,GNGW
欧,AQQW
鱈,QOFV
騖,CBTC
伐,WAT
騏,CADW
騃,CCTD
迩,QIPI
鱺,QOGX
筴,TDWW
暑,JFTJ
漩,IYTH
漫,IJLC
漪,IQTK
漭,IADA
漬,IGMY
漯,ILXI
漠,IAJD
漣,ILPY
漤,ISSV
漦,FITI
漸,|||||
漽,INIH
漿,NHDI
漾,IUGI
漱,IGKW
漳,IUJH
漲,|||||
漶,IKKN
漉,IYNX
詶,YYTH
漏,INFY
漁,IQOY
漂,ISFI
漆,ISWI
漘,IDFE
漚,IAKK
漓,IYBC
漕,IGMJ
演,IPGW
萹,|||||
萸,AVWU
落,AITK
萼,AKKN
萲,AEFC
萱,APGG
萵,AMNK
萩,ATOU
萨,ABUT
萮,AWGJ
萭,ATKY
萬,AJMY
萧,AVIJ
鱧,QOMU
营,APKK
萤,APJU
萘,ADFI
萝,ALQU
萜,AMHK
萑,AWYF
萐,AGVH
萋,AGVV
萊,ASWW
萏,AQVF
萎,|||||
萍,AIGH
萌,AJEF
萃,AYWF
萁,AADW
鱢,QOKS
萇,ADEU
萆,ARTF
萅,AGBJ
萄,AQRM
鶥,NHWO
鶬,WYVO
惇,NYBG
瞀,CBTH
鶴,PWYO
鶵,QBTO
鶼,UVOO
鶿,UXXO
瞇,HOPY
鶇,GJIO
鶏,EFWO
鶉,YBWO
鶓,ALWO
鶚,KKFO
時,|||||
晃,JIQB
晁,JIQB
晄,JIQN
晅,JGJG
晊,JGCF
晋,GOGJ
晉,GCCJ
晏,JPVF
晌,JTMK
晒,JSG
晓,JATQ
晖,JPLH
晗,JWYK
晔,JWXF
晕,JPLJ
晚,JQKQ
晙,JCWT
晞,JQDH
晟,JDNT
晝,VFJG
瞒,HAGW
晡,JGEY
晦,JTXU
晤,JGKG
瞓,HYKH
晨,JDFE
普,UOGJ
景,JYIU
詧,WYF
晳,SRJF
晰,JSRH
面,|||||
晶,JJJF
晷,JTHK
晴,JGEG
智,TDKJ
晻,JDJN
晾,JYIY
扳,RRCY
扰,RDNN
馗,VUTH
扶,RFWY
瞞,HAMY
称,TQIY
秽,TMQY
馘,UTHG
秾,TPEY
秸,TFKG
移,TQQY
承,BDII
秤,TGUH
秧,TMDY
秦,DWTU
秣,TGSY
秭,TTNT
积,TKWY
秩,TRWY
秫,TSYY
秕,TXXN
秔,TYMN
秖,TQAN
科,TUFH
秒,TITT
租,TEGG
瞥,UMIH
秘,TNTT
秛,THCY
瞪,HWGU
秆,TFH
私,TCY
秀,TEB
秃,TMB
种,TKHH
秌,OTY
秉,TGVI
秈,TMH
秋,TOY
馁,QNEV
庾,YVWI
瞩,HNTY
詬,YRGK
庹,YANY
庻,YAWW
庵,YDJN
庶,YAOI
康,YVII
庳,YRTF
庭,YTFP
庯,YGEY
庫,YLK
庥,YWSI
度,YACI
座,YWWF
庠,YUDK
鹈,UXHG
府,YWFI
庞,YDXV
废,YNTY
庙,YMD
庚,YVWI
应,YID
底,YQAY
庖,YQNV
店,YHKD
庐,YYNE
庑,YFQV
库,YLK
序,YCBK
馊,QNVC
床,YSI
庋,YFCI
庄,YFD
庆,YDI
扭,RNFG
庀,YXV
扒,RWY
靈,FKKW
皃,RQB
馥,TJTT
馭,CCY
馮,|||||
馨,FNMJ
詔,YVKG
隕,BKMY
邨,GBNB
氇,TFNJ
邯,AFBH
詖,YHCY
氌,TFNJ
氏,QAV
氕,RNTR
气,RNB
邻,|||||
鑽,QTFM
鑼,QLXY
鑿,OGUQ
鑾,XYXQ
鑹,QPWN
皋,RDFJ
皈,RRCY
鑵,QAKY
皇,RGF
的,RQYY
鑶,QADT
鑱,QQKY
鑰,QWGA
皀,RXB
皁,RFJ
鑭,|||||
鑮,QAIF
皚,RMGU
鑫,QQQF
鑪,QHAL
鑥,QQOJ
鑤,QJAI
皕,DJDJ
鑠,QXRS
皐,RIFJ
皑,RMNN
皮,HCI
鑛,QYAW
鑚,QFWM
邴,GMWB
皤,RTOL
鑑,QAHL
鑐,QFDJ
鑒,AHNQ
皿,LHNG
皺,QBTC
皻,HAEC
皸,PLHC
鑊,QAWC
皷,FKUC
皴,CWTC
皲,PLHC
皰,HCQN
皱,QVHC
赤,FOU
赦,FOTY
赧,FOBC
赠,MULJ
赡,MQDY
赢,YNKY
赣,UJTM
鋟,QVPC
氧,|||||
赪,FOHM
赫,FOFO
赴,FHHI
赵,FHQI
赶,FHFK
起,FHNV
走,FHU
赳,FHNH
资,UQWM
赅,MYNW
赆,MNYU
赇,MFIY
赀,HXMU
赁,WTFM
赂,MTKG
赃,MYFG
赌,MFTJ
赍,FWWM
赎,MFND
氢,RNCA
赈,MDFE
赉,GOMU
赊,MWFI
赋,MGAH
赔,MUKG
赕,MOOY
赖,GKIM
赐,MJQR
赑,MMMU
赓,YVWM
赜,AHKM
諮,YUQK
赞,TFQM
赟,YGAM
赘,GQTM
赙,MGEF
赚,MUVO
赛,PFJM
梳,SYCQ
梱,SLSY
械,SAAH
梶,|||||
梵,SSMY
還,LGKP
梿,SLPY
梾,SGOY
梽,SFNY
梼,SDTF
梣,SMWN
諢,YPLH
梡,SPFQ
梧,SGKG
梦,SSQU
梫,SVPC
梨,TJSU
梯,SUXT
梭,SCWT
梓,SUH
梐,SXXF
梗,SGJQ
梔,|||||
諦,YUPH
梘,SHQN
梟,TVGS
條,WHTS
梃,STFP
梁,IVWS
梆,SDTB
梅,STXU
梏,STFK
邝,YBH
蒽,ALDN
蒼,AWYK
蒿,AYMK
蒾,AOPU
蒹,AUVO
蒸,ABIO
蒻,AXUU
蒺,AUTD
蒴,AUBE
氲,RNJL
蒲,AIGY
蒬,APQY
蒯,AEEJ
鋰,QJFG
蒨,AWGE
蒡,AUPY
蒝,ADRI
蒜,AFII
蒟,AUQK
蒞,AIWU
蒙,APGE
蒗,AIYE
蒓,AXGN
邕,VKCB
蒍,AYTO
蒌,AOVF
蒎,AIRE
蒉,AKHM
蒈,AXXR
蒋,AUQF
蒇,ADMT
蒂,AUPH
鋸,QNDG
諏,YBCY
块,FNWY
坑,FYMN
坐,WWFF
坝,FMY
坜,|||||
坟,FYY
坞,FQNG
买,NUDU
乱,TDNN
坛,FFCY
坚,JCFF
均,FQUG
址,FHG
坂,FRCY
坍,FMYG
坌,WVFF
书,NNHY
坎,FQWY
习,NUD
乡,|||||
坊,FYN
乜,NNV
九,VTN
乞,TNB
坶,FXGU
乘,TUXV
乙,NNLL
坳,|||||
乔,TDJJ
坼,FRYY
乖,TFUX
乗,TGAS
乐,QII
坻,FQAY
談,YOOY
乌,QNGD
坤,FJHH
乎,TUHK
乏,TPI
么,TCU
諄,YYBG
之,PPPP
坭,FNXN
久,QYI
坯,FGIG
乇,TAV
坩,FAFG
坨,FPXN
坫,FHKG
坪,FGUH
詆,YQAY
硼,DEEG
硷,DWGI
硶,DMWN
硵,DHLQ
詈,LYF
硯,DHQN
确,DQEH
硭,DAYN
硬,DGJQ
硫,DYCQ
硪,DTRT
硨,DLH
硤,DDWW
硝,DIEG
硚,DTDJ
硗,DATQ
硖,DGUW
硕,|||||
硒,DSG
硐,DMGK
硏,DFTF
硎,DGAJ
硌,DTKG
硇,DTLQ
硅,DFFG
础,DBMH
姵,VMGH
歜,LQJW
拮,RFKG
閌,UYMV
歙,WGKW
歎,AKFW
歌,SKSW
彝,XGOA
鴯,DMJO
鴬,IPWO
鴨,LWVO
鴦,MDWO
歉,UVOW
鴣,DWVO
拢,RDXN
鴿,WGKO
鴻,IAWO
鴳,PVWO
鴰,TDWO
鴉,AHTO
鴆,PQWO
鴇,XFWO
釕,|||||
歃,TFVW
閉,UFTE
鴟,QAYO
鴝,QKWO
鴛,QBWO
崛,MNBM
鴕,WVGX
柄,SGMW
柀,|||||
柁,|||||
柃,SWYC
柏,SRG
柈,SUFH
柊,|||||
崟,MQF
柔,CBTS
某,AFSU
柑,SAFG
柒,IASU
染,IVSU
柜,SANG
柝,SRYY
柞,STHF
柟,SMFG
柘,SDG
柙,SLH
柚,SMG
查,SJGF
柠,SPSH
歸,WNNH
柢,SQAY
柬,GLII
