肌肉无力,Muscle weakness|
宫外孕,ectopic pregnancy|exfetation|extrauterine pregnancy|eccyesisk|ectopic pregnancy|ectopic pregnancy|EP|EUP|extrauterine pregnancy|gestation,extra-uterine|GEU|metacyesis|
海蜇,jellyfish|acaleph|jellyfish|
海红,midget crabapple fruit|
肝衰竭,hepatic failure|Hepatic failure|
逼尿肌反射亢进,detrusor hyperreflexia|
泌尿系统感染,
心排血量减少,
心悸,cardio palmus|palpitation|palpitation of the heart|heart palpitation|palpitate|palpitation of the heart|cardiopalmus|palmus|palpitation|trepidatio cordis|
眼前黑,
黏液脓性痰,
咳脓痰,vomica|vomica|vomica|
氯化汞,corrosive sublimate|corrosivesublimate|mercuric chloride|mercuric chloride|mercury perchloride|
普通感冒,common cold|commoncold|common cold|
排尿不适,
打喷嚏,sneeze|
喷嚏,sneezing|sternutation|sneeze|sneeze|sneezing|sternutatio|sternutation|
血小板减少症,thrombocytopenia|plastocytopenia|
视力视野改变,
眼睑,eyelid|palpebra|eyelid|blephar-|blephara|blepharo-|blepharon|eyelid|operculum oculi|palpebra|
咳嗽反射,cough reflex|cough reflex|CR|
包皮炎,acrobystitis|acroposthitis|acrobystitis|acroposthitis|acrobystitis|acroposthitis|posthitis|
药物过敏,drug allergy|drug allergy|drug hypersensitivity|
视力视野改变,
食管气管瘘,esophago-tracheal fistula|tracheo esophagealfistula|tracheo-esophageal fistula|tracheoesophagealfistula|esophago-tracheal fistula|
食管炎,esophagitis|esophagitis|esophagitis|oesophagitis|
尿赤,dark urine|deep-colored urine|deep-coloured urine|
尿黄,
呼吸窘迫综合症,
成人still病,
持续性腹痛,
上腹胀痛,
柏油样便,Tarry stools|
小管间质性肾炎,
间质性肾炎,interstitial nephritis|fibrous nephritis|interstitial nephritis|
山中宰相,
急性呼吸窘迫综合征,acute respiatary distress syndrome|acute respiratory distress sydrome|
呼吸窘迫综合症,
晕针,fainting during acupuncture|acupuncture fainting|faint during acupuncture|fainting druing acupuncture treatment|acupuncture syncope|
晕机,aeroplane disease|air craft disease|air sickness|airplane sickness|airsickness|aviation sickness|aviator's sickness|morbus aerialis|morbus aviatorum|
头晕,dizziness|have a sensation of dizziness|vertigo|be light in the had|be light in the head|dizziness|giddiness|have a sensation of dizziness|vertigines|vertigo|vertogoes|dizziness|lightheadedness|
流氓软件,
恶意软件,
糙皮病,chichism|pellagra|pellagrosis|pellargra|elephantiasis asturiensis|pellagra|endemic erythema|pellagra|pellagrosis|psilosis pigmentosa|shagreen skin|
脚癣,athletes foot|tinea pedis|athlete's foot|ringworm of the foot|tinea pedes|athlete's foot|dermatomycosis pedis|Hong Kong foot|t.pedis|tinea pedis|
睡行症,sleep walking|sleepwalking|somnambulism|somnambulism|sleep walking|
勃起障碍,erectile disfunction|ED|
胃纳呆滞,anorexia|
纳呆,anorexia|loss of apetite|loss of appetite|anorexia|
巨人症,giantism|gigantism|hypersomia|macrogenesis|macrogenesy|somatomegaly|
泌尿系感染,urinary infection|urinary infection|urinary system infection|
手五里,
隐斜,
隐斜视,heterophoria|latent squint|dynamic squint|heterophoria|latent deviation|latent squint|latent strabismus|phoria|suppressed squint|suppressed strabismus|
银屑病,psoriasis|psoriasis|Ps|psoriasis|
精神恍惚,trance|Absentmindedness|
反复鼻出血,
子宫脱垂,hysteroptosis|metroptosis|prolapse of uterus|prolapseofuterus|falling of the womb|hysteroptosis|procidentia uteri|prolapse of the uterus|prolapseofuterus|prolatps of the uterus|descensus uteri|prolapse of uterus|uterine prolapse|
子宫脱出,prolapsus uteri|
呼吸浅慢,Slow shallow breathing|Hypopnea|
呼吸浅,
橘黄,
鳞状细胞癌,squamous carcinoma|squamous cell carcinoma|squamouscarcinoma|prickle cell carcinoma|SCC|squamous cancer|squamous carcinoma|squamous cell carcinoma|
鳞癌,SC|SqCa|
震颤,fremitus|thrill|tremble|tremella|tremor|n. chatter|fremitus|tingle|tremble|tremella|tremor|chatter|milk sickness|thr.|thrill|Tr|trem.|tremb.|trembling|tremor|trepidatio|trepidation|
眼球震颤,nystagmus|talantropia nystaxis|nystagmus|Ny|nyst.|nystagmus|nystaxis|ocular tremor|talantropia|
气促,polypnea|short breath|shortbreath|shortness of breath|shortnessofbreath|?breathlessness|gasp for breath|gasping breath|panting|polypnea|breathlessness|accelerated breathing|anhelation|breathlessness|panting|polypnea|short breath|SOB|
气急,short breath|shortbreath|breath lessness|
子宫出血,endometrorrhagia|metrorrhagia|haemorrhagia uterina|uterine bleeding|
功能性子宫出血,dysfunctional uterina bleeding|dysfunctional uterne bleeding|metropathia hemorrhagica|dysfunctional uterine bleeding|FUB|functional uterine bleeding|uterine bleeding dysfunctional|
淋巴结结核,evil|crewels|glandular phthisis|lymphadenitis scrofulosa|lymphoid tuberculosis|
甲型肝炎,hepatitis a|epidemic jaundice|HA|hepatitis A|
膈肌痉挛,diaphragmatic spasm|
肝功能受损,
肝功能不全,hepatic insufficiency|hepatic inadequacy|hepatic inadequacy|
震水音,antispamodic|antispastic|splashing sound|splashingsound|splashingsound|
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
张口困难,kifficulty in opening mouth|difficult in opening mouth|
消化性溃疡,peptic ulcer|peptic ulcer|peptic ulcer|PU|
胃,gastroentro pancreaticendocrinium|gorge|pl ventriculi|stomach|ventriculus|wind syndrome of the stomach|gorge|stomach|venter|chylostomach|gaster|gaster-|gastr-|gastro|gastro-|gizzard|St|stom.|stomach|stomachus|Gastro-|
痘痘,
青春痘,
会阴,perineum|per.|perinaeum|perineo-|perineum|perl.|
染料,dye|dyestuff|dye|colorant|coloring agent|colourant|dye|dyestuff|stain|
希恩综合征,Sheehan syndrome|
青春痘,
红细胞增多,erythrocytosis|erythromatosis|erythromatosis|chronic splenomegalic polycythemia|erythrocythemia|erythrocytosis|erythromatosis|hyperglobulia|hyperglobulism|PCV|polycythemia rubra|polycythemia vera|rubra polycythemia|rubra vera polycythemia|
红细胞增多症,polycyth emia|globulism|polycyth emia|myelopathic polycythemia|chronic splenomegalic polycythemia|erythrocythemia|primary polycythemia|rubra polycythemia|splenomegalic polycythemia|vera polycythemia|
入睡困难,difficulty falling asleep|DFA|
胎黄,fetal jaundice|icterus neonatorum|neonatorum icterus|fetal jaundice|neonatal jaundice|neonatorum icterus|pregnant jaundice|
心肌缺血,myocardial ischemia|heart muscle ischemia|MI|myocardial ischemia|
心肌炎,myocarditis|myocarditis|infective cardiomyopathy|MC|myocarditis|
运动功能障碍,dyskinesia|Motor dysfunction|
缢死,death by strangulating|hanging,death from hanging|
自缢,hanging|
兰草,eupatorium fortunei|
佩兰,eupatorium|herb of fortune eupatorium|herb of forune eupaturium|eupatorii,herba|eupatorium|fortune eupatorium herb|queen of the meadow|
左心室肥厚,left ventricular hypertrophy|
心室肥厚,ventricular hypertrophy|ventricular hypertrophy|
上甲,
猕猴桃,yangtao|actinidia chinensis|Chinese gooseberry|kiwi fruit|
直肠损伤,rectal injury|
放射性直肠,
血尿伴蛋白尿,
蛋白尿,albuminuria|edema proteinuria hypertension syndrome|serumuria|proteinuria|albuminuria|hyperproteinuria|leukuresis|proteinuria|proteuria|serumuria|
打嗝,belching|hiccough|hiccup|belch|belching|eruct|eructate|eructation|hiccup|hiccup|
巩膜外层炎,episcleritis|episclerotitis|
颌下腺肿大,
颌下淋巴结肿大,
口干舌燥,
巩膜外层炎,episcleritis|episclerotitis|
巩膜黄染,icteric sclera|icteric sclera|yellowish pigmentation of the sclera|icteric sclera|
滴虫性阴道炎,trichomonal vaginitis|trichomonas vaginitis|trichomoniasis vaginitis|TV|
滴虫病,trichomoniasis|trichomoniasis|
视力模糊,blurred vision|blurring of vision|blurred vision|
胃阴虚,deficiency of the stomacg_yin|deficiency of the stomach-yin|deficiency of stmach-yin|deficiency of stomach-yin|asthenia of gastroyin|deficiency of gastric yin|
胃功能紊乱,
湿疹,asthma and hay fever|asthmaandhayfever|eczema|Ez|eczema|humid tetter|moist tetter|weeping dermatitis|eczema|Ez|humid tetter|salt rheum|weeping dermatitis|
奶癣,infantile eczema|
凝血障碍,disturbance of blood coagulation|
咳嗽反射,cough reflex|cough reflex|CR|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
子宫出血,endometrorrhagia|metrorrhagia|haemorrhagia uterina|uterine bleeding|
功能性子宫出血,dysfunctional uterina bleeding|dysfunctional uterne bleeding|metropathia hemorrhagica|dysfunctional uterine bleeding|FUB|functional uterine bleeding|uterine bleeding dysfunctional|
骨针,bone spicule|bone needles|bone neelde|sclere|spicula|spicule|spiculum|
骨片,exoskeletal plate|sclerite|bone flap|exoskeletal plate|spicula|spicule|spiculum|sclerite|
肝外胆管结石,
胆管结石,Calculus of bile duct|
女性不孕,
不孕,acyesis|sterility|dysgenesia|aciesis|acyesis|dysgenesia|infertility|sterilitas|sterility|
稀便,Loose stools|
反复腹泻,
单纯性甲状腺肿,simple goiter|simplegoiter|simple goiter|simple goiter|
淋巴,lymph|lympha|lympho|lympy|LYM|lymph|lymph-|lympha|lympho-|
心跳过速,
阵发性室性心动过速,paroxysmal ventricular tachycardia|paroxysmal ventricular tachycardia|PVT|
神经型食物中毒,food poisoning of neural type|
免疫力低下,hypoimmunity|
间歇热,intermittent fever|intermittent fever|anetus|intermittent fever|malarial,intermittent fever|
腰痛,lmbodynia|lumbago|have lumbago|lumbar myalgia|pain in waist|LBP|low back pain|lum|lumbago|lumbar myalgia|lumbodynia|
低颅压性头痛,
偏头痛,hemicrania|megrim|mgraine|migraine headache|bilious headache|blind headache|brow|brow ache|brow ague|brow pang|cephalagra|hemicrania|megrim|migraine|migraine headache|one-sided headache|sick headache|brow ache|brow pang|cephalagra|hemicrania|heterocrania|MH|migraine|migraine headache|migrainous headache|
胀痛,distending pain|swollen pain swelling pain|distending pain|fullness pain|pain with marked distension|painful distension|gas pains|
免疫功能障碍,
阴部溃疡,vulvar ulceration|Pudendal ulcer|
前列腺肥大,prostatic hyperplasia|prostatic hypertrophy|PH|prostatauxe|prostatic hypertrophy|prostatomegaly|prostauxe|
猝倒,cataplexie|cataplexis|cataplexy|cataptosis|
摔倒,
睾丸素,testosterone|Ts|virosterone|
伪膜性肠炎,pseudomembranous enterocolitis|
抗生素相关性肠炎,
右上腹胀痛,
婴儿湿疹,infantile eczema|infantileeczema|lactigo|infantile eczema|
肌肉劳损,muscular strain|muscle strain|
囊肿性痤疮,cystic acne|dystic acne|cystic acne|
皂甙,saponin|saponin|
皂素,sapogenin|saponin|
人尿,urina hominis|
溲,
步态异常,abnormal gait|gait irregularity|
走路不稳,
刺痛,prickle|stabbing pain|twinge|twinge or prickle or stabbing pain|hurt|stab|sting|pricking pain|twinge|
胸部刺痛,
光过敏,photoallergy|light-sensitiveness|photosensitivity|
过敏反应,allergic reaction|anaphylactic reaction|anaphylactic response|sensitization response|allergic reaction|anaphylaxis|allergic response|anaphylactic response|anaphylaxis|hypersensitive reaction|hypersensitive response|
营养障碍,dystrophia|dystrophy|paratrophia|paratrophy|trophic disorder|dystrophy|nutritional disorder|alogotrophy|dystrophia|dystrophy|nutritional disturbance|paratrophia|paratrophy|trophic disorder|trophic disturbance|trophonosis|trophopathy|
营养不良,dystrophia|dystrophy|malnutrition|paratrophia|undernutrition|cacotrophy|dystrophy|innutrition|malnourishment|malnutrition|parasynanche|undernutrition|cacotrophia|cacotrophy|dystrophia|dystrophy|hypothrepsia|kakatrophy|kakotrophy|malnutrition|nutritional disturbance|paratrophia|paratrophy|undernutrition|
尿常规异常,
颞动脉炎,TA|temporal arteritis|
胃肠型感冒,
睑腺炎,hordeolum|sty|
先天性髋关节脱位,congenital dislocation of hip joint|congenital dislocation of hip|LCC|luxatio coxac congenita|
发育性髋关节脱位,
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
紧张性头痛,tension headache|
细菌性感染,bacterial infection|Bacterial infection|
乳腺囊性增生,
咽部溃疡,
窦性停搏,sinus arrest|
偏头痛,hemicrania|megrim|mgraine|migraine headache|bilious headache|blind headache|brow|brow ache|brow ague|brow pang|cephalagra|hemicrania|megrim|migraine|migraine headache|one-sided headache|sick headache|brow ache|brow pang|cephalagra|hemicrania|heterocrania|MH|migraine|migraine headache|migrainous headache|
复杂性醉酒,
气管炎,tracheitis|trachitis|tracheal catarrh|tracheitis|trachitis|
喉鸣声,
喉鸣,laryngeal stridor|laryngeal stridor|
念珠菌性阴道炎,monilial vaginitis|
眼睑湿疹,palpebral eczema|eczema palpebrae|
黄色结节,
病理性黄疸,pathological jaundisce|pathological jaundisce|
黄疸,icterus|jaundice|icterrus|jaundice|the yellows|aurigo|choloplania|flavedo|icterus|Jaun|jaundice|morbus arcuatus|morbus regius|
未成熟儿,premature infant|
风寒湿痹,arthralgia due to wind cold-dampness|arthralgia due to wind-cold-dampness|arthralgia due to wind-cold dampness|anemofrigid-damp arthralgia|wind-cold-wetness bype of arthralgia|
宫颈癌,carcinoma of uterine cervix|cervical carcinoma|cervical carcinoma|CACX|cancer of the cervix|UCC|uterine cervix cancer|
子宫颈癌,carcinoma cervicis|carcinoma cervicis uteri|carcinoma colli uteri|carcinoma of cervix|cervical cancer|
面肌无力,
面部麻木,
眼睑浮肿,palpebral edema|palpebraledema|puffiness of the eyelid|
小脑性共济失调,cerebellar ataxia|CA|cerebellar ataxia|
共济失调,ataxia|dystaxia|ataxia|ataxy|defective coordination|dystaxia|incoordination|
胃纳差,
纳差,anorexia|anorexia|
单睑,
黑刺,
腹绞痛综合征,
舌质红绛,bright redtongue|crimson tongue|purplish red tongue|maroon tongue|ted maroon tongue with yellowish coating|
舌红,reddened tongue|fklushed tongue|red tongue|rednesss of the tongue|red tongue|
脚癣,athletes foot|tinea pedis|athlete's foot|ringworm of the foot|tinea pedes|athlete's foot|dermatomycosis pedis|Hong Kong foot|t.pedis|tinea pedis|
右上腹胀痛,
单眼失明,monocular blindness|MD|monocular deprivation|
红斑样皮疹,
继发性闭经,secondary amenorrhea|secondary amenorrhea|SA|secondary amenorrhea|
弥漫性骨质疏松,diffuse osteoporosis|
骨质疏松,osteoporosis|osteoporosis|bone rarefaction|osteoporosis|rarefaction of bone|
视力下降,diminution of vision|
压力性尿失禁,stress incontinence|stressincontinence|stress incontinence|
胃糜烂,
糜烂性胃炎,erosive gastritis|erosive gastritis|
水潴留,water retention|
绞痛,angina|cllic|colic|colicky|colicky pain|tormentum|a gripping pain|angina|angor|cllic|colicky pain|tormentum|tormina|angor|colic|colic pain|colica|colicky pain|cramp|griping pain|tormentum|tormina|
头痛加重,
高位截瘫,
截瘫,paraplegia|paraplegia|Para|paraplegina|
子宫颈,cervix|cervix uteri|uterine cervix|cervix|uteri cervix|uterine cervix|cerv.|cervix|cervix uteri|Cx|neck of uterus|uterine cervix|uterine neck|Cervico-|
劳力性呼吸困难,DOE|dyspnea on exertion|
关节肿痛,
脑缺氧,cerebral anoxia|cerebral anoxia|
脑供血不足,
压痛,tendeness|adnexal thickening and tenderness|tendeness|the uterus is a bit larger and tender|tenderness|
粘液血便,mucous bloody stool|
呼吸功能衰竭,
呼吸困难,breathe hard|breathe with difficulty|dyspnea|dyspneic|lose one's breath|anhelation|Dp|dysp.|dyspnea|dyspneic respiration|dyspnoea|embarrassment|
视力视野改变,
突出,beetle|hernia|herniate|protrude|protrusion|rupture|cel-|her.|hernia|outpocketing|par excellence|predominance|proptosis|protrude|protrusion|protrution|
歇斯底里,hysteria|hysterism mythoplasty|HY|HYS|hysteria|hysterism|
地方性甲状腺肿,endemic goiter|endemic goiter|
不育症,infertilitas feminis|infertility|sterility|barrenness|barrenness|infertilitas|infertilitas feminis|infertility|aphoria|
肠梗阻,ileus|intestinal obstruction|the blind gut|ileus|intestinal obstruction|intestinal obstructiono|the blind gut|BO|bowel obstruction|ileac passion|ileus|intestinal obstruction|IO|IOb|
恶性青光眼,malignant glaucoma|malignant glaucoma|
单眼失明,monocular blindness|MD|monocular deprivation|
眼失明,
子宫内膜增生,endometrial hyperplasia|hyperplasia endometrii|endometrial hyperplasia|hyperplasia endometrii|
子宫内膜厚,
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
乳房肿块,Lump in breast|
乳腺肿块,
绝经后出血,pmb|postmenopausal bleeding|
更年期综合征,climacteric syndrome|menopausal syndrome|climacteric sndrome|climacteric syndrome|menopausal syndrome|climacteric syndrome|menopausal syndrome|
附骨疽,pyogenic infection of bone|pyogenic infection of the bone|bone cellulitis|pyogenic infection of the bone|
肾亏,deficiency of the kidney|deficiencyofthekidney|asthenia of the kidney|deficiency of the kidney|Sukra prameha|Shen-k'uei|Jiryan|Dhat|
谵妄,phrenitis|delirium|exhaustin of mental power|exhaustion of mental power|phrenitis|acute confusional state|delire|ideosynchysis|phrenitis|
皮肤瘙痒症,cutaneous pruritus|pruritus cutanea|cutaneous pruritus|pruritus cutanea|Pruritus of skin|
下关,hsiakuan|Lower Pass|Xiaguan|
肺吸虫病,distomatosis pulmonum|endemic hemoptysis|lung fluke disease|paragonimiasis|paragonimosis|pulmonary distomiasis|
脐中,
乙肝,
慢性乙肝,
踝阵挛,ankle clonus|ankleclonus|ankle reflex|ankle-clonus|foot clonus|foot phenomenon|
皮肤瘀点,
眼底病变,
口禾髎,
长频,
呼吸困难,breathe hard|breathe with difficulty|dyspnea|dyspneic|lose one's breath|anhelation|Dp|dysp.|dyspnea|dyspneic respiration|dyspnoea|embarrassment|
心包积液,cardiac effusion|hydropericardium|pericardial effusion|pericardial effusion|hydrops pericardil|PE|pericardial effusion|pericardial fluid|
小便,pas water|pass water|piss|relieve nature|urinate|urine|
呼吸异常,abnormality of respiration|
慢性肾功能衰竭,chronic rnal failure|chronic renal failure|chronic renal function failure|CRF|
尿毒症,toxuria|uraemia|uremia|urinaemia|uraemia|toxuria|uraemia|uremia|urinaemia|urinemia|
微血栓形成,
静脉血栓形成,phlebothrombosis|thrombosis of vein|venous thrombosis|
视力视野改变,
视力下降,diminution of vision|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
眼眶疼痛,
眼眶痛,
收惊,
叫魂,
肺部异常,
运动功能障碍,dyskinesia|Motor dysfunction|
运动障碍,dyscinesia|dyskinesia|dyskinesis|movement disorder|dyscinesia|cinesipathy|DK|dyscinesia|dyskinesia|dyskinesis|kinesipathy|motor disorder|motor disturbance|
软骨病,chondropathy|osteomalacia|osteomalacia|rickets|chondropathia|chondropathy|
小儿佝偻病,
扑翼样震颤,asterixis|flapping tremor|
震颤,fremitus|thrill|tremble|tremella|tremor|n. chatter|fremitus|tingle|tremble|tremella|tremor|chatter|milk sickness|thr.|thrill|Tr|trem.|tremb.|trembling|tremor|trepidatio|trepidation|
呼吸窘迫综合症,
呼吸音粗,
水肿,edema proteinuria hypertension syndrome|edemasedemata|hydrops|oedema|dropsy|edemasedemata|hydrops|oedema|water swelling|-ites|cutaneous dropsy|dropsy|ed.|hydroncus|hydrops|hydropsia|hydrosarca|water thesaurismosis|
内脏利什曼病,kala azar|kalaazar|visceral leishmaniasis|kala-azar|visceral leishmaniasis|VL|
承浆,mandibular fossa|cheng jiang|the mandibular fossa|Chengjiang|Receiving Saliva|mandibular fossa|
肌肉劳损,muscular strain|muscle strain|
脑转移瘤,metastatic encephaloma|
瘤,knot|neoplasm|new growth|newgrowth|non-chromaffin paraganglioma|tumor|boss|neoplasm|-oma|-oncus|growth|knob|neoplasma|newgrowth|node|nodule|onco-|struma|tumeur|tumor|tumour|wart|
呼吸功能衰竭,
胃酸,gastric acid|gastric acidity|hydrochloric acid in gastric juice|gastric acid|
排尿不畅,dribble urination|
胃肠功能紊乱,gastrointestinal dysfunction|
寻常型银屑病,
牛皮癣,leprous psora|neurodermatitis|psoriasis|psychosomatic|alphos|lepra alphoides|leprous psora|psoriasis|Ps|psora|psoriasis|psoriasis vulgaris|scaly tetter|serpedo|
成骨不全,myeloplastic malacia|osteogenesis imperfecta|osteogenesisimperfecta|osteogenesisimperfecta|dysostosis|myeloplastic malacia|OI|osteogenesis imperfecta|periosteal dysplasia|
泌尿系感染,urinary infection|urinary infection|urinary system infection|
泌尿系统感染,
高热不退,
多莉,
风疹,german measles|her pes|herpes|rubella|rubeola|syphilis|German measles|german measles|nettle rash|rubella|rubeola|urticaria|wind skin rash|wind skin rask|bastard measles|epidemic process|epidemic roseola|German measles|roeteln|rosella|roteln|rubella|rubeola|
隐疹,urticaria|urticaria|
水肿,edema proteinuria hypertension syndrome|edemasedemata|hydrops|oedema|dropsy|edemasedemata|hydrops|oedema|water swelling|-ites|cutaneous dropsy|dropsy|ed.|hydroncus|hydrops|hydropsia|hydrosarca|water thesaurismosis|
肺水肿,pulmonary edema|pulmonaryedema|edema of lung|lung edema|oedema pulmonum|PE|pneumochysis|pneumonedema|pulmonary edema|wet lung|
舌苔白腻,whitish glossy ciating of the tongue|whitish glossy coating of the tongue|whitish greasy coating|
腰膝酸软,relative weakness in the loins and knees|soreness of the waist and knees|soreness of the waist and kness|soreness of the waist and the knees|
膝酸软,
柏油便,
柏油样便,Tarry stools|
面部蝶形红斑,
面部红斑,
先天性髋脱位,luxatio coxae congenita|luxatio coxae congenita|
发育性髋关节脱位,
嗅觉倒错,paraosmia|parosmia|parosphresia|allotriosmia|heterosmia|paraesthesia olfactoria|paraosmia|parosmia|
嗅觉减退,hyposmia|hyposphresia|hyposmia|baryodmia|dysosphresia|dysosphresis|hyposmia|hyposphresia|olfactory hypoesthesia|PIHH|postinfluenza-like hyposmia and hypogeusia|
胸廓异常,
反复腹泻,
骨痛,bone ache|ostealgia|osteodynia|bone ache|osteodynia|ache,bone|bone ache|ostalgia|ostealgia|osteodynia|
乳泣,galactorrhea|galactorrhea|weeping of the breast|
剧烈头痛,severe headache|severe headache|
头顶痛,vertex headache|
视力视野改变,
视野缺损,visual field defect|defect of field vision|defect of visual field|field defect|field-defect|VFD|visual field defect|
地塞米松,carulon|corson|cortisumman|decadron|decaspray|dectan|deronil|desacort|dexameth|dexamethasone|hexadrol|metasolon|carulon|corson|deronil|9α-fluoro-16α-methylprednisolone|corson|decaesadril|decaspray|dectan|desacort|DEX|dexameth|dexamethasone|DM|DX|DXM|flumeprednisolone|fluormone|hexadecadrol|hexadrol|hightisone|metasolon|
可的松,adreson|corlin|cortadren|cortisone|cortogen|cortone|crtisone|incortin|scheroson|cortogen|11-dehydro-17-hydroxycorticosterone|adreson|COR|corlin|cort.|cortadren|Cortelan|cortisone|incortin|Kendall's compound E|scheroson|
细菌性痢疾,bacillary dysentery|shigellosis|
菌痢,bacillary dysentery|bacillary dysentery|
会阴,perineum|per.|perinaeum|perineo-|perineum|perl.|
金门,Golden Gate|Jinmen|
酮症酸中毒,ketoacidosis|
痰血,bloody phlegm|
头晕,dizziness|have a sensation of dizziness|vertigo|be light in the had|be light in the head|dizziness|giddiness|have a sensation of dizziness|vertigines|vertigo|vertogoes|dizziness|lightheadedness|
继发性闭经,secondary amenorrhea|secondary amenorrhea|SA|secondary amenorrhea|
火酒,
尿异常,
抑郁,depression|gloominess|athymia|depr.|depress.|depression|
抑郁状态,depressive state|
甲减,hypothyroidism|
食欲异常,Abnormal food appetite|
纳差,anorexia|anorexia|
盘状红斑,
震颤,fremitus|thrill|tremble|tremella|tremor|n. chatter|fremitus|tingle|tremble|tremella|tremor|chatter|milk sickness|thr.|thrill|Tr|trem.|tremb.|trembling|tremor|trepidatio|trepidation|
心脏结构异常,
心脏异常,abnormality of the heart|
下疳,chancre|primary lesion|chancre|primary lesion|autochthonous ulcer|chancre|hard sore|hard ulcer|primary sore|syphilitic ulcer|ulcus durum|ulcus induratum|venereal sore|
疳疮,
皮疹,efflorescence|eryption|erythra|pox|skin rash|eryption|pox|rash|skin rash|breakout|efflorescence|erythra|exanthem|skin rash|tetter|
脾胃虚弱,weakness of the spleen and the stomach|deficiency and weakness of the stomach|deficiency of the spleen and stomach|spleen-stomach deficiency|weaknes of the spleen and stomach|weakness of the spleen and the stomach|weakness of the spleen and stomach|
胃功能紊乱,
屈光不正性弱视,ametropic amblyopia|
屈光不正,ametropia|ametropia|AM|ametropia|errors of refraction|refraction error|refractive errors|
过敏反应,allergic reaction|anaphylactic reaction|anaphylactic response|sensitization response|allergic reaction|anaphylaxis|allergic response|anaphylactic response|anaphylaxis|hypersensitive reaction|hypersensitive response|
家暴,
感觉性共济失调,sensory ataxia|
共济失调,ataxia|dystaxia|ataxia|ataxy|defective coordination|dystaxia|incoordination|
肺鼠疫,pneumonic plague|pneumonic plague|pestis pneumonica|pneumonic plague|
黑死病,black death|bubonic plague|the black plague|BD|black death|lues|pestis|
鼓胀,tympanism|tympanites|flatulent colic|tympanites|tympanites colic|flatulent colic|meteorism|splanchneurysma|tympania|tympanites|tympany|
胀,swell|
肾绞痛,nephritic colic|renal colic|nephric colic|nephritic colic|nephrocolic|renal colic|
心肌梗塞,cardiac infarction|myocardiac infarction|angina pectoris and myocardial infarction|heart infarction|MI|myocardial infarct|myocardial infarction|
心肌梗死,myocardial infarction|
牙龈肿痛,swelling in the gum|
牙龈,gingiva|gum|gingiva|gum|gum|ula|ule-|ulo-|oula|oulon|ule|
息肉,polyp|polypus|polyp|polypus|[单]polypus|[复]polypi|
鼻息肉,nasal polyp|rhiniopolypus|rhinopolyp|nasal polyp|nasal polyp|nasal polypus|rhinopolypus|
舌苔薄白,thin an dwhite coating on the tongue|thin and whitish fur of the tngue|thin whitish coating of the tongue|white and thin coating of the tongue|
重度烧伤,major burn|severe burn|severe degree burn|severe[degree]burn|
烧伤,burn|burn|empyrosis|adustum|empyrosis|fire burn|
重度贫血,
贫血,anemia|hemopthisis|hyphemia|anaemia|anemia|hemophthisis|hypemia|hyphemia|hypoemia|hypohemia|
脑缺氧,cerebral anoxia|cerebral anoxia|
脑供血不足,
乳房胀痛,breast in women|distending pain of the breast|distension and pain of the breasts|
布洛芬,brufen|ibuprofen|adran|Brufen|
芬必得,Fenbid|
反复发热,
尻,sacral region|buttocks|sacral region|
弥漫性骨质疏松,diffuse osteoporosis|
骨质疏松,osteoporosis|osteoporosis|bone rarefaction|osteoporosis|rarefaction of bone|
多想,
忧郁,melancholia|cafard|megrim|melancholy|moodiness|moody|gloom|melancholy|
抑郁,depression|gloominess|athymia|depr.|depress.|depression|
静脉血栓形成,phlebothrombosis|thrombosis of vein|venous thrombosis|
水肿,edema proteinuria hypertension syndrome|edemasedemata|hydrops|oedema|dropsy|edemasedemata|hydrops|oedema|water swelling|-ites|cutaneous dropsy|dropsy|ed.|hydroncus|hydrops|hydropsia|hydrosarca|water thesaurismosis|
黄斑水肿,macular edema|ME|
肥胖症,adiposis|obesity|adiposis|obesity|adiposity|adiposity|
鳞癌,SC|SqCa|
心力衰竭,cardiac failure|heart failure|cardiac failure|heart attasck|heart failure|cardia failure|cardiac failure|CF|heart failure|HF|myocardial failure|heart failure|heart failure|
阴门,cunus|gash|vulva|vulva|vulvae|valva|
咽部溃疡,
口腔溃疡,stomatocace|ulcerations of the oral cavity|ulceratiue stomatitis|ulcer in the oral cavity|ulcer of oral cavity|ulcerations of oral cavity|ulcerations of the oral cavity|ulcerative stomatitis|dental ulcer|
